percentile,value
1,4.05
2,4.14
3,4.2
4,4.24
5,4.28
6,4.31
7,4.33
8,4.36
9,4.38
10,4.4
11,4.42
12,4.43
13,4.45
14,4.46
15,4.48
16,4.49
17,4.51
18,4.52
19,4.53
20,4.54
21,4.56
22,4.57
23,4.58
24,4.59
25,4.6
26,4.61
27,4.62
28,4.63
29,4.64
30,4.65
31,4.66
32,4.67
33,4.68
34,4.69
35,4.7
36,4.71
37,4.71
38,4.72
39,4.73
40,4.74
41,4.75
42,4.76
43,4.77
44,4.77
45,4.78
46,4.79
47,4.8
48,4.81
49,4.82
50,4.82
51,4.83
52,4.84
53,4.85
54,4.86
55,4.87
56,4.88
57,4.88
58,4.89
59,4.9
60,4.91
61,4.92
62,4.93
63,4.94
64,4.94
65,4.95
66,4.96
67,4.97
68,4.98
69,4.99
70,5.0
71,5.01
72,5.02
73,5.03
74,5.04
75,5.05
76,5.06
77,5.07
78,5.08
79,5.09
80,5.11
81,5.12
82,5.13
83,5.14
84,5.16
85,5.17
86,5.19
87,5.2
88,5.22
89,5.23
90,5.25
91,5.27
92,5.29
93,5.32
94,5.34
95,5.37
96,5.41
97,5.45
98,5.51
99,5.6
