percentile,value
1,428.62
2,429.05
3,429.33
4,429.53
5,429.7
6,429.84
7,429.97
8,430.08
9,430.18
10,430.28
11,430.36
12,430.45
13,430.52
14,430.6
15,430.67
16,430.73
17,430.8
18,430.86
19,430.92
20,430.98
21,431.03
22,431.09
23,431.14
24,431.19
25,431.24
26,431.29
27,431.34
28,431.39
29,431.43
30,431.48
31,431.52
32,431.57
33,431.61
34,431.66
35,431.7
36,431.74
37,431.78
38,431.83
39,431.87
40,431.91
41,431.95
42,431.99
43,432.03
44,432.07
45,432.11
46,432.15
47,432.19
48,432.23
49,432.27
50,432.31
51,432.35
52,432.39
53,432.43
54,432.47
55,432.51
56,432.55
57,432.59
58,432.63
59,432.67
60,432.71
61,432.75
62,432.8
63,432.84
64,432.88
65,432.92
66,432.97
67,433.01
68,433.05
69,433.1
70,433.14
71,433.19
72,433.24
73,433.28
74,433.33
75,433.38
76,433.43
77,433.48
78,433.54
79,433.59
80,433.65
81,433.7
82,433.76
83,433.83
84,433.89
85,433.96
86,434.03
87,434.1
88,434.18
89,434.26
90,434.35
91,434.44
92,434.54
93,434.65
94,434.78
95,434.92
96,435.09
97,435.3
98,435.57
99,436.0
