percentile,value
1,5449594103.89
2,5626712054.97
3,5739087715.64
4,5823623548.43
5,5892386927.62
6,5950915362.84
7,6002233350.85
8,6048182488.41
9,6089971390.25
10,6128438143.32
11,6164188976.23
12,6197677344.34
13,6229251801.39
14,6259186400.49
15,6287700778.35
16,6314973866.97
17,6341153526.63
18,6366363475.0
19,6390708379.72
20,6414277671.72
21,6437148446.62
22,6459387705.94
23,6481054112.04
24,6502199377.15
25,6522869375.8
26,6543105045.35
27,6562943120.34
28,6582416737.32
29,6601555936.65
30,6620388082.15
31,6638938214.31
32,6657229349.68
33,6675282736.25
34,6693118072.57
35,6710753696.77
36,6728206751.07
37,6745493325.38
38,6762628583.17
39,6779626873.06
40,6796501828.18
41,6813266454.6
42,6829933211.62
43,6846514084.22
44,6863020649.44
45,6879464137.68
46,6895855489.42
47,6912205408.73
48,6928524413.61
49,6944822884.56
50,6961111111.11
51,6977399337.66
52,6993697808.61
53,7010016813.5
54,7026366732.8
55,7042758084.54
56,7059201572.79
57,7075708138.01
58,7092289010.61
59,7108955767.62
60,7125720394.04
61,7142595349.17
62,7159593639.05
63,7176728896.84
64,7194015471.15
65,7211468525.45
66,7229104149.65
67,7246939485.97
68,7264992872.54
69,7283284007.91
70,7301834140.08
71,7320666285.58
72,7339805484.9
73,7359279101.88
74,7379117176.87
75,7399352846.42
76,7420022845.07
77,7441168110.18
78,7462834516.28
79,7485073775.61
80,7507944550.5
81,7531513842.51
82,7555858747.23
83,7581068695.59
84,7607248355.25
85,7634521443.87
86,7663035821.73
87,7692970420.83
88,7724544877.89
89,7758033245.99
90,7793784078.9
91,7832250831.98
92,7874039733.82
93,7919988871.37
94,7971306859.38
95,8029835294.6
96,8098598673.79
97,8183134506.58
98,8295510167.25
99,8472628118.33
