percentile,value
1,13.63
2,13.76
3,13.84
4,13.91
5,13.96
6,14.0
7,14.03
8,14.07
9,14.1
10,14.13
11,14.15
12,14.18
13,14.2
14,14.22
15,14.24
16,14.26
17,14.28
18,14.3
19,14.32
20,14.33
21,14.35
22,14.37
23,14.38
24,14.4
25,14.41
26,14.43
27,14.44
28,14.45
29,14.47
30,14.48
31,14.5
32,14.51
33,14.52
34,14.54
35,14.55
36,14.56
37,14.57
38,14.59
39,14.6
40,14.61
41,14.62
42,14.63
43,14.65
44,14.66
45,14.67
46,14.68
47,14.69
48,14.71
49,14.72
50,14.73
51,14.74
52,14.75
53,14.76
54,14.78
55,14.79
56,14.8
57,14.81
58,14.82
59,14.84
60,14.85
61,14.86
62,14.87
63,14.89
64,14.9
65,14.91
66,14.92
67,14.94
68,14.95
69,14.96
70,14.98
71,14.99
72,15.0
73,15.02
74,15.03
75,15.05
76,15.06
77,15.08
78,15.09
79,15.11
80,15.13
81,15.14
82,15.16
83,15.18
84,15.2
85,15.22
86,15.24
87,15.26
88,15.28
89,15.31
90,15.33
91,15.36
92,15.39
93,15.42
94,15.46
95,15.5
96,15.55
97,15.61
98,15.7
99,15.82
