percentile,value
1,4.01
2,4.1
3,4.15
4,4.19
5,4.22
6,4.25
7,4.28
8,4.3
9,4.32
10,4.34
11,4.35
12,4.37
13,4.38
14,4.4
15,4.41
16,4.42
17,4.44
18,4.45
19,4.46
20,4.47
21,4.48
22,4.49
23,4.5
24,4.51
25,4.52
26,4.53
27,4.54
28,4.55
29,4.56
30,4.57
31,4.58
32,4.58
33,4.59
34,4.6
35,4.61
36,4.62
37,4.63
38,4.63
39,4.64
40,4.65
41,4.66
42,4.67
43,4.67
44,4.68
45,4.69
46,4.7
47,4.71
48,4.71
49,4.72
50,4.73
51,4.74
52,4.74
53,4.75
54,4.76
55,4.77
56,4.77
57,4.78
58,4.79
59,4.8
60,4.81
61,4.81
62,4.82
63,4.83
64,4.84
65,4.85
66,4.85
67,4.86
68,4.87
69,4.88
70,4.89
71,4.9
72,4.91
73,4.92
74,4.93
75,4.94
76,4.95
77,4.95
78,4.97
79,4.98
80,4.99
81,5.0
82,5.01
83,5.02
84,5.03
85,5.05
86,5.06
87,5.07
88,5.09
89,5.1
90,5.12
91,5.14
92,5.16
93,5.18
94,5.21
95,5.23
96,5.27
97,5.31
98,5.36
99,5.44
