question_id	first_run	first_run_date	tournament	file_count	notes
41569	1042	2026-02-02 15:26:46 UTC	spring_aib_2026	3	
41838	1013	2026-01-31 16:40:50 UTC	spring_aib_2026	3	
41894	1043	2026-02-02 16:06:23 UTC	spring_aib_2026	3	
41900	1007	2026-01-31 13:05:46 UTC	spring_aib_2026	3	
41905	1017	2026-02-01 19:54:27 UTC	spring_aib_2026	3	
41906	1027	2026-02-01 22:59:24 UTC	spring_aib_2026	2	
41908	1044	2026-02-02 17:07:42 UTC	spring_aib_2026	2	
41909	1045	2026-02-02 18:02:19 UTC	spring_aib_2026	3	
41935	1023	2026-02-01 21:29:13 UTC	spring_aib_2026	3	
41960	1038	2026-02-02 11:41:38 UTC	unknown	2	
41961	1037	2026-02-02 10:58:55 UTC	unknown	3	
41963	1039	2026-02-02 12:03:39 UTC	unknown	2	
41967	1040	2026-02-02 13:39:22 UTC	unknown	3	
41968	1041	2026-02-02 14:27:55 UTC	unknown	3	
41970	1042	2026-02-02 15:29:49 UTC	unknown	3	
41971	1043	2026-02-02 16:09:42 UTC	unknown	2	
41972	1045	2026-02-02 18:05:09 UTC	unknown	2	
